frame, quadrant, color, entry/exit 
148, 3, Orange, entry
148, 4, None, entry
149, 1, White, entry
149, 2, Orange, entry
149, 3, Orange, entry
149, 4, None, entry
150, 1, White, entry
150, 2, Orange, entry
150, 3, Orange, entry
150, 4, None, entry
151, 1, White, entry
151, 2, Orange, entry
151, 3, Orange, entry
151, 4, None, entry
152, 1, White, entry
152, 2, Orange, entry
152, 3, Orange, entry
152, 4, None, entry
153, 1, White, entry
153, 2, Orange, entry
153, 3, Orange, entry
153, 4, None, entry
154, 1, White, entry
154, 2, Orange, entry
154, 3, Orange, entry
154, 4, None, entry
155, 1, White, entry
155, 2, Orange, entry
155, 3, Orange, entry
155, 4, None, entry
156, 1, White, entry
156, 2, Orange, entry
156, 3, Orange, entry
156, 4, None, entry
157, 1, White, entry
157, 2, Orange, entry
157, 3, Orange, entry
157, 4, None, entry
158, 1, White, entry
158, 2, Orange, entry
158, 3, Orange, entry
158, 4, None, entry
159, 1, White, entry
159, 2, Orange, entry
159, 3, Orange, entry
159, 4, None, entry
160, 1, White, entry
160, 2, Orange, entry
160, 3, Orange, entry
160, 4, None, entry
161, 1, White, entry
161, 2, Orange, entry
161, 3, Orange, entry
161, 4, None, entry
162, 1, White, entry
162, 2, Orange, entry
162, 3, Orange, entry
162, 4, None, entry
163, 1, White, entry
163, 2, Orange, entry
163, 3, Orange, entry
163, 4, None, entry
164, 1, White, entry
164, 2, Orange, entry
164, 3, Orange, entry
164, 4, None, entry
165, 1, White, entry
165, 2, Orange, entry
165, 3, Orange, entry
165, 4, None, entry
166, 1, White, entry
166, 2, Orange, entry
166, 3, Orange, entry
166, 4, None, entry
167, 1, White, entry
167, 2, Orange, entry
167, 3, Orange, entry
167, 4, None, entry
168, 1, White, entry
168, 2, White, exit
168, 3, Orange, entry
168, 4, None, entry
169, 1, White, entry
169, 2, White, entry
169, 3, Orange, entry
169, 4, None, entry
170, 1, White, entry
170, 2, White, entry
170, 3, Orange, entry
170, 4, None, entry
171, 1, Orange, exit
171, 2, White, entry
171, 3, Orange, entry
171, 4, None, entry
172, 1, White, exit
172, 2, White, entry
172, 3, Orange, entry
172, 4, None, entry
173, 1, White, entry
173, 2, White, entry
173, 3, Orange, entry
173, 4, None, entry
174, 1, White, entry
174, 2, White, entry
174, 3, Orange, entry
174, 4, None, entry
175, 1, White, entry
175, 2, White, entry
175, 3, Orange, entry
175, 4, None, entry
176, 1, White, entry
176, 2, White, entry
176, 3, Orange, entry
176, 4, None, entry
177, 1, White, entry
177, 2, White, entry
177, 3, Orange, entry
177, 4, None, entry
178, 1, White, entry
178, 2, White, entry
178, 3, Orange, entry
178, 4, None, entry
179, 1, White, entry
179, 2, White, entry
179, 3, Orange, entry
179, 4, None, entry
180, 1, White, entry
180, 2, White, entry
180, 3, Orange, entry
180, 4, None, entry
181, 1, White, entry
181, 2, White, entry
181, 3, Orange, entry
181, 4, None, entry
182, 1, White, entry
182, 2, White, entry
182, 3, Orange, entry
182, 4, None, entry
183, 1, White, entry
183, 2, White, entry
183, 3, Orange, entry
183, 4, None, entry
184, 1, White, entry
184, 2, White, entry
184, 3, Orange, entry
184, 4, None, entry
185, 1, White, entry
185, 2, White, entry
185, 3, Orange, entry
185, 4, None, entry
186, 1, White, entry
186, 2, White, entry
186, 3, Orange, entry
186, 4, None, entry
187, 1, White, entry
187, 2, White, entry
187, 3, Orange, entry
187, 4, None, entry
188, 1, White, entry
188, 2, White, entry
188, 3, Orange, entry
188, 4, None, entry
189, 1, White, entry
189, 2, White, entry
189, 3, Orange, entry
189, 4, None, entry
190, 1, White, entry
190, 2, White, entry
190, 3, Orange, entry
190, 4, None, entry
191, 1, White, entry
191, 2, White, entry
191, 3, Orange, entry
191, 4, None, entry
192, 1, White, entry
192, 2, White, entry
192, 3, Orange, entry
192, 4, None, entry
193, 1, White, entry
193, 2, White, entry
193, 3, Orange, entry
193, 4, None, entry
194, 1, White, entry
194, 2, White, entry
194, 3, Orange, entry
194, 4, None, entry
195, 1, White, entry
195, 2, White, entry
195, 3, Orange, entry
195, 4, None, entry
196, 1, White, entry
196, 2, White, entry
196, 3, Orange, entry
196, 4, None, entry
197, 1, White, entry
197, 2, White, entry
197, 3, Orange, entry
197, 4, None, entry
198, 1, White, entry
198, 2, White, entry
198, 3, Orange, entry
198, 4, None, entry
199, 1, White, entry
199, 2, White, entry
199, 3, Orange, entry
199, 4, None, entry
200, 1, White, entry
200, 2, White, entry
200, 3, Orange, entry
200, 4, None, entry
201, 1, White, entry
201, 2, White, entry
201, 3, Orange, entry
201, 4, None, entry
202, 1, White, entry
202, 2, White, entry
202, 3, Orange, entry
202, 4, None, entry
203, 1, White, entry
203, 2, White, entry
203, 3, Orange, entry
203, 4, None, entry
204, 1, White, entry
204, 2, White, entry
204, 3, Orange, entry
204, 4, None, entry
205, 1, White, entry
205, 2, White, entry
205, 3, Orange, entry
205, 4, None, entry
206, 1, White, entry
206, 2, White, entry
206, 3, Orange, entry
206, 4, None, entry
207, 1, White, entry
207, 2, White, entry
207, 3, Orange, entry
207, 4, None, entry
208, 1, White, entry
208, 2, White, entry
208, 3, Orange, entry
208, 4, None, entry
209, 1, White, entry
209, 2, White, entry
209, 3, Orange, entry
209, 4, None, entry
210, 1, White, entry
210, 2, White, entry
210, 3, Orange, entry
210, 4, None, entry
211, 1, White, entry
211, 2, White, entry
211, 3, Orange, entry
211, 4, None, entry
212, 1, White, entry
212, 2, White, entry
212, 3, Orange, entry
212, 4, None, entry
213, 1, White, entry
213, 2, White, entry
213, 3, Orange, entry
213, 4, None, entry
214, 1, White, entry
214, 2, White, entry
214, 3, Orange, entry
214, 4, None, entry
215, 1, White, entry
215, 2, White, entry
215, 3, Orange, entry
215, 4, None, entry
216, 1, White, entry
216, 2, White, entry
216, 3, Orange, entry
216, 4, None, entry
217, 1, White, entry
217, 2, White, entry
217, 3, Orange, entry
217, 4, None, entry
218, 1, White, entry
218, 2, White, entry
218, 3, Orange, entry
218, 4, None, entry
219, 1, White, entry
219, 2, White, entry
219, 3, Orange, entry
219, 4, None, entry
220, 1, White, entry
220, 2, White, entry
220, 3, Orange, entry
220, 4, None, entry
221, 1, White, entry
221, 2, White, entry
